Interface
Nielsen POS File
IRI POS File
Nielsen Product File
IRI Product File
Nielsen Channel File
IRI Channel File
Kantar - Household Panel
Kauza - Household Panel
Tilbuds-Leaflets
Promax - Promotions
P & L
Nielsen Channel Mapping File
Nielsen Product Mapping File
Futuremaster - Promotions
Other - Promotions
Other - Household Panel 
Other
Customer
Product
Primary Sales
Secondary Sales
Sellin-product
Secondary Sales-Laos
